Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1695.0	0.10132	0.12952	7.7206	4958.1	5740.3	10.717	2.2525	2.7142	970.90	0.44243	undefined	undefined	vapor
1705.0	0.10132	0.12876	7.7662	4980.6	5767.5	10.733	2.2572	2.7189	973.59	0.43234	undefined	undefined	vapor
1715.0	0.10132	0.12801	7.8117	5003.2	5794.7	10.749	2.2619	2.7236	976.27	0.42246	undefined	undefined	vapor
1725.0	0.10132	0.12727	7.8573	5025.8	5822.0	10.765	2.2665	2.7282	978.94	0.41278	undefined	undefined	vapor
1735.0	0.10132	0.12654	7.9028	5048.5	5849.3	10.781	2.2711	2.7328	981.61	0.40329	undefined	undefined	vapor
1745.0	0.10132	0.12581	7.9484	5071.3	5876.6	10.796	2.2757	2.7374	984.27	0.39399	undefined	undefined	vapor
1755.0	0.10132	0.12509	7.9939	5094.0	5904.0	10.812	2.2802	2.7419	986.92	0.38488	undefined	undefined	vapor
1765.0	0.10132	0.12439	8.0395	5116.9	5931.5	10.828	2.2847	2.7463	989.56	0.37594	undefined	undefined	vapor
1775.0	0.10132	0.12369	8.0851	5139.7	5959.0	10.843	2.2891	2.7508	992.20	0.36718	undefined	undefined	vapor
1785.0	0.10132	0.12299	8.1306	5162.7	5986.5	10.859	2.2935	2.7552	994.83	0.35859	undefined	undefined	vapor
1795.0	0.10132	0.12231	8.1762	5185.6	6014.1	10.874	2.2979	2.7595	997.46	0.35017	undefined	undefined	vapor
1805.0	0.10132	0.12163	8.2217	5208.6	6041.7	10.889	2.3022	2.7639	1000.1	0.34191	undefined	undefined	vapor
1815.0	0.10132	0.12096	8.2673	5231.7	6069.3	10.905	2.3065	2.7681	1002.7	0.33381	undefined	undefined	vapor
1825.0	0.10132	0.12030	8.3128	5254.7	6097.0	10.920	2.3107	2.7724	1005.3	0.32586	undefined	undefined	vapor
1835.0	0.10132	0.11964	8.3584	5277.9	6124.8	10.935	2.3150	2.7766	1007.9	0.31806	undefined	undefined	vapor
1845.0	0.10132	0.11899	8.4039	5301.0	6152.6	10.950	2.3191	2.7808	1010.5	0.31041	undefined	undefined	vapor
1855.0	0.10132	0.11835	8.4495	5324.3	6180.4	10.965	2.3233	2.7849	1013.1	0.30290	undefined	undefined	vapor
1865.0	0.10132	0.11772	8.4950	5347.5	6208.3	10.980	2.3274	2.7890	1015.6	0.29553	undefined	undefined	vapor
1875.0	0.10132	0.11709	8.5406	5370.8	6236.2	10.995	2.3315	2.7931	1018.2	0.28830	undefined	undefined	vapor
1885.0	0.10132	0.11647	8.5862	5394.1	6264.1	11.010	2.3355	2.7971	1020.8	0.28120	undefined	undefined	vapor
1895.0	0.10132	0.11585	8.6317	5417.5	6292.1	11.025	2.3395	2.8011	1023.3	0.27422	undefined	undefined	vapor
1905.0	0.10132	0.11524	8.6773	5440.9	6320.2	11.039	2.3435	2.8051	1025.9	0.26738	undefined	undefined	vapor
1915.0	0.10132	0.11464	8.7228	5464.4	6348.2	11.054	2.3474	2.8090	1028.4	0.26066	undefined	undefined	vapor
1925.0	0.10132	0.11405	8.7684	5487.9	6376.3	11.069	2.3513	2.8129	1031.0	0.25406	undefined	undefined	vapor
1935.0	0.10132	0.11346	8.8139	5511.4	6404.5	11.083	2.3552	2.8168	1033.5	0.24757	undefined	undefined	vapor
1945.0	0.10132	0.11287	8.8595	5535.0	6432.7	11.098	2.3590	2.8206	1036.0	0.24121	undefined	undefined	vapor
1955.0	0.10132	0.11230	8.9050	5558.6	6460.9	11.112	2.3628	2.8244	1038.6	0.23495	undefined	undefined	vapor
1965.0	0.10132	0.11172	8.9506	5582.2	6489.2	11.127	2.3665	2.8282	1041.1	0.22880	undefined	undefined	vapor
1975.0	0.10132	0.11116	8.9961	5605.9	6517.5	11.141	2.3703	2.8319	1043.6	0.22277	undefined	undefined	vapor
1985.0	0.10132	0.11060	9.0417	5629.6	6545.8	11.155	2.3740	2.8356	1046.1	0.21683	undefined	undefined	vapor
1995.0	0.10132	0.11004	9.0872	5653.4	6574.2	11.170	2.3776	2.8393	1048.6	0.21100	undefined	undefined	vapor
